labels	X	Y	Z	PointType
D171	138.507379	155.331727	235.037278	PointType.DETECTOR
D172	126.995859	156.872455	236.208260	PointType.DETECTOR
D173	133.672895	166.580285	236.358222	PointType.DETECTOR
D174	129.084204	177.884820	236.956686	PointType.DETECTOR
D175	118.968128	178.775350	232.102614	PointType.DETECTOR
D176	124.963583	188.277357	232.302260	PointType.DETECTOR
D177	192.233433	78.447957	138.387246	PointType.DETECTOR
D178	191.974598	75.616460	127.158876	PointType.DETECTOR
D179	191.772799	81.804788	149.292193	PointType.DETECTOR
D180	190.811931	85.991742	160.051003	PointType.DETECTOR
D181	185.370213	69.218847	133.698122	PointType.DETECTOR
D182	184.372943	75.857208	156.620021	PointType.DETECTOR
D183	181.688018	85.526441	178.578523	PointType.DETECTOR
D184	189.857741	90.347736	170.866241	PointType.DETECTOR
D185	177.543493	98.044041	199.965640	PointType.DETECTOR
D186	186.033591	101.620542	191.692713	PointType.DETECTOR
D187	188.673896	95.202709	181.579371	PointType.DETECTOR
D188	170.925800	114.138060	217.916649	PointType.DETECTOR
D189	179.736367	116.717431	210.793406	PointType.DETECTOR
D190	182.807406	108.588226	200.576630	PointType.DETECTOR
D191	160.536238	133.923107	227.749317	PointType.DETECTOR
D192	170.618620	135.301907	222.527523	PointType.DETECTOR
D193	175.729068	125.104057	216.355422	PointType.DETECTOR
D194	150.463350	154.817088	234.476501	PointType.DETECTOR
D195	165.984019	145.186253	226.487076	PointType.DETECTOR
D196	161.358062	155.047801	231.458296	PointType.DETECTOR
D197	139.692343	176.000338	233.999209	PointType.DETECTOR
D198	150.326399	175.537945	231.901047	PointType.DETECTOR
D199	156.564461	165.565242	234.743099	PointType.DETECTOR
D200	143.985078	184.322479	226.195739	PointType.DETECTOR
D201	200.087932	87.108422	142.263684	PointType.DETECTOR
D202	198.539571	81.519668	120.898466	PointType.DETECTOR
D203	204.538861	91.288471	124.071297	PointType.DETECTOR
D204	205.478421	94.161342	134.049880	PointType.DETECTOR
D205	197.340068	95.897207	162.687104	PointType.DETECTOR
D206	205.608511	97.975359	144.303519	PointType.DETECTOR
D207	205.947879	100.650716	155.003590	PointType.DETECTOR
D208	193.846057	106.064812	182.911766	PointType.DETECTOR
D209	204.235250	105.690469	164.815700	PointType.DETECTOR
D210	201.494587	111.022419	174.299466	PointType.DETECTOR
D211	188.446061	119.589722	201.943314	PointType.DETECTOR
D212	198.456759	116.833356	183.610392	PointType.DETECTOR
D213	195.828279	123.242798	192.981215	PointType.DETECTOR
D214	180.953888	136.491099	216.727557	PointType.DETECTOR
D215	192.792708	130.283883	201.503255	PointType.DETECTOR
D216	188.743930	139.017702	208.676932	PointType.DETECTOR
D217	172.168882	156.013707	226.701817	PointType.DETECTOR
D218	185.556679	147.447874	214.885134	PointType.DETECTOR
D219	181.919455	158.109204	221.317743	PointType.DETECTOR
D220	160.470324	174.934156	228.144460	PointType.DETECTOR
D221	178.125973	166.993824	225.733005	PointType.DETECTOR
D222	170.957794	176.427377	225.335932	PointType.DETECTOR
D223	163.695970	185.358253	223.186648	PointType.DETECTOR
D224	209.909849	100.963849	124.183070	PointType.DETECTOR
D225	209.753253	107.707866	144.767074	PointType.DETECTOR
D226	212.824659	111.571735	124.015018	PointType.DETECTOR
D227	211.860577	115.551470	134.489102	PointType.DETECTOR
D228	208.589382	116.808140	165.226415	PointType.DETECTOR
D229	211.718509	119.455850	145.015628	PointType.DETECTOR
D230	212.453848	123.711101	155.154283	PointType.DETECTOR
D231	202.265851	127.890133	183.648663	PointType.DETECTOR
D232	210.110401	128.850180	164.909928	PointType.DETECTOR
D233	207.201592	133.809594	173.560032	PointType.DETECTOR
D234	195.894340	142.060507	200.533762	PointType.DETECTOR
D235	204.430941	138.981193	182.870053	PointType.DETECTOR
D236	201.686818	146.080896	190.651785	PointType.DETECTOR
D237	188.512509	159.463520	211.746188	PointType.DETECTOR
D238	197.570528	153.053221	196.816900	PointType.DETECTOR
D239	194.970536	161.642358	203.554284	PointType.DETECTOR
D240	180.763816	178.371006	220.334058	PointType.DETECTOR
D241	193.678756	171.016812	208.885140	PointType.DETECTOR
D242	188.015167	180.230898	211.604751	PointType.DETECTOR
D243	182.208265	189.506105	214.777923	PointType.DETECTOR
D244	212.110684	107.277545	113.647726	PointType.DETECTOR
D245	211.810964	112.850010	103.078966	PointType.DETECTOR
D246	213.382345	122.763885	123.937785	PointType.DETECTOR
D247	213.986700	124.144592	103.041339	PointType.DETECTOR
D248	216.876775	128.919648	113.512058	PointType.DETECTOR
D249	215.382370	133.830037	124.246085	PointType.DETECTOR
D250	213.806428	131.206646	144.996272	PointType.DETECTOR
D251	214.091505	138.445512	134.810740	PointType.DETECTOR
D252	213.352493	148.119488	155.363509	PointType.DETECTOR
D253	214.326431	143.132197	145.186019	PointType.DETECTOR
D254	211.633697	140.857046	164.751338	PointType.DETECTOR
D255	211.266634	153.450859	165.405616	PointType.DETECTOR
D256	205.862917	150.421594	182.181723	PointType.DETECTOR
D257	199.900972	163.384142	194.434947	PointType.DETECTOR
D258	192.773503	181.608244	201.699892	PointType.DETECTOR
D259	199.920173	181.375824	191.248530	PointType.DETECTOR
D260	195.519086	191.523101	195.846728	PointType.DETECTOR
D261	215.498921	135.163192	103.162437	PointType.DETECTOR
D262	216.848956	145.511356	124.407262	PointType.DETECTOR
D263	218.374083	146.846516	103.677190	PointType.DETECTOR
D264	217.865691	151.551469	114.981370	PointType.DETECTOR
D265	214.423236	155.206649	145.489661	PointType.DETECTOR
D266	215.072864	162.139118	135.587059	PointType.DETECTOR
D267	216.250905	157.051437	124.913748	PointType.DETECTOR
D268	212.586473	165.575376	166.713698	PointType.DETECTOR
D269	214.583253	167.140259	146.032985	PointType.DETECTOR
D270	214.984070	172.011603	156.549914	PointType.DETECTOR
D271	205.354034	182.179585	184.024617	PointType.DETECTOR
D272	214.528042	176.798850	166.822663	PointType.DETECTOR
D273	212.199001	184.172596	174.860138	PointType.DETECTOR
D274	209.260082	193.466617	180.879415	PointType.DETECTOR
D275	215.736259	165.621235	95.430850	PointType.DETECTOR
D276	221.992903	170.553727	105.045288	PointType.DETECTOR
D277	220.641435	175.475048	116.157728	PointType.DETECTOR
D278	217.138810	180.714358	126.480104	PointType.DETECTOR
D279	216.522552	186.048818	137.232185	PointType.DETECTOR
D280	217.599245	191.132584	148.099300	PointType.DETECTOR
D281	218.790265	158.471649	104.195317	PointType.DETECTOR
D282	217.764888	168.765618	125.748537	PointType.DETECTOR
D283	215.259000	179.256669	146.910575	PointType.DETECTOR
D284	185.357693	67.609836	109.406187	PointType.DETECTOR
D285	192.910541	73.562479	115.338127	PointType.DETECTOR
D286	184.973242	72.414525	86.191429	PointType.DETECTOR
D287	192.414778	75.195783	103.249735	PointType.DETECTOR
D288	192.298236	78.372883	92.084649	PointType.DETECTOR
D289	179.495803	83.388066	67.039850	PointType.DETECTOR
D290	190.519803	83.398632	81.489621	PointType.DETECTOR
D291	187.467644	88.941668	72.087892	PointType.DETECTOR
D292	198.333317	85.061694	98.258497	PointType.DETECTOR
D293	202.595117	88.875325	114.660148	PointType.DETECTOR
D294	203.190378	92.046187	105.348903	PointType.DETECTOR
D295	194.903328	94.277901	77.347314	PointType.DETECTOR
D296	202.888494	96.180711	95.083129	PointType.DETECTOR
D297	201.567163	100.720124	85.492345	PointType.DETECTOR
D298	198.846060	105.181593	74.811662	PointType.DETECTOR
D299	207.556747	102.302908	103.980477	PointType.DETECTOR
