labels	X	Y	Z	PointType
AFF6	188.100000	130.000000	207.000000	PointType.ELECTRODE
AFF6h	182.517484	120.417480	209.511210	PointType.ELECTRODE
AFF4	174.420099	110.420100	211.626630	PointType.ELECTRODE
AFF4h	164.434516	102.382330	214.047820	PointType.ELECTRODE
AFF2	155.000000	97.000000	215.100000	PointType.ELECTRODE
AFF2h	141.000000	95.000000	217.100000	PointType.ELECTRODE
F7h	59.900000	140.000000	194.000000	PointType.ELECTRODE
F5	64.000000	128.000000	196.100000	PointType.ELECTRODE
F5h	71.900000	116.000000	198.000000	PointType.ELECTRODE
F3	79.900000	104.000000	200.000000	PointType.ELECTRODE
F3h	88.900000	94.000000	201.000000	PointType.ELECTRODE
F1	99.900000	87.000000	203.000000	PointType.ELECTRODE
F1h	113.948050	80.450450	203.499500	PointType.ELECTRODE
F8h	202.291569	137.992280	190.099430	PointType.ELECTRODE
F6	196.918042	125.692370	192.562840	PointType.ELECTRODE
F6h	190.000000	111.900000	195.000000	PointType.ELECTRODE
F4	182.000000	100.900000	197.000000	PointType.ELECTRODE
F4h	169.789381	90.839425	199.597390	PointType.ELECTRODE
F2	157.000000	83.000000	201.100000	PointType.ELECTRODE
F2h	145.000000	80.000000	203.100000	PointType.ELECTRODE
FFT7h	51.900000	138.000000	179.000000	PointType.ELECTRODE
FFC5	56.435130	123.005410	181.000000	PointType.ELECTRODE
FFC5h	63.900000	110.000000	183.000000	PointType.ELECTRODE
FFC3	72.164790	97.368008	184.040800	PointType.ELECTRODE
FFC3h	83.900000	86.000000	186.000000	PointType.ELECTRODE
FFC1	95.610160	75.761417	186.471570	PointType.ELECTRODE
FFC1h	111.947020	67.413244	187.486760	PointType.ELECTRODE
FFT8h	208.100000	136.025030	175.594990	PointType.ELECTRODE
FFC6	205.000000	120.900000	178.000000	PointType.ELECTRODE
FFC6h	196.100000	106.000000	180.000000	PointType.ELECTRODE
FFC4	187.560268	93.460268	182.000000	PointType.ELECTRODE
FFC4h	176.000000	82.900000	184.000000	PointType.ELECTRODE
FFC2	161.620022	73.115016	185.594990	PointType.ELECTRODE
FFC2h	145.023620	66.411665	187.094390	PointType.ELECTRODE
FT7h	47.949790	136.008290	163.547720	PointType.ELECTRODE
FC5	50.900000	120.000000	165.000000	PointType.ELECTRODE
FC5h	57.900000	103.000000	166.000000	PointType.ELECTRODE
FC3	68.322090	90.577910	167.474030	PointType.ELECTRODE
FC3h	81.361060	76.538942	169.000000	PointType.ELECTRODE
FC1	95.697190	66.079487	168.561660	PointType.ELECTRODE
FC1h	111.757560	58.677110	168.888110	PointType.ELECTRODE
FT8h	213.100000	133.000000	160.000000	PointType.ELECTRODE
FC6	210.290277	116.866380	162.310000	PointType.ELECTRODE
FC6h	204.000000	101.900000	163.000000	PointType.ELECTRODE
FC4	192.000000	87.900000	164.000000	PointType.ELECTRODE
FC4h	179.000000	73.900000	166.000000	PointType.ELECTRODE
FC2	164.000000	62.900000	167.000000	PointType.ELECTRODE
FC2h	149.127560	57.640890	167.878110	PointType.ELECTRODE
FTT7h	47.000000	135.936110	148.100000	PointType.ELECTRODE
FCC5	49.304760	116.976190	149.000000	PointType.ELECTRODE
FCC5h	54.800760	99.198488	151.450380	PointType.ELECTRODE
FCC3	66.114290	85.380951	151.595240	PointType.ELECTRODE
FCC3h	78.695140	72.080538	151.437840	PointType.ELECTRODE
FCC1	93.695140	63.080538	151.562160	PointType.ELECTRODE
FCC1h	111.900000	55.000000	152.000000	PointType.ELECTRODE
FTT8h	214.100000	136.000000	145.000000	PointType.ELECTRODE
FCC6	212.100000	116.000000	146.000000	PointType.ELECTRODE
FCC6h	207.000000	98.900000	147.000000	PointType.ELECTRODE
FCC4	194.651113	83.138335	148.000000	PointType.ELECTRODE
FCC4h	182.459391	70.359391	149.000000	PointType.ELECTRODE
FCC2	166.846000	59.823000	150.000000	PointType.ELECTRODE
FCC2h	149.000000	52.900000	151.000000	PointType.ELECTRODE
TTP7h	44.900000	133.000000	117.000000	PointType.ELECTRODE
CCP5	45.900000	115.971040	116.594210	PointType.ELECTRODE
CCP5h	51.000000	96.000000	115.900000	PointType.ELECTRODE
CCP3	60.900000	80.000000	115.000000	PointType.ELECTRODE
CCP3h	74.363100	66.536898	114.000000	PointType.ELECTRODE
CCP1	90.900000	55.000000	113.000000	PointType.ELECTRODE
CCP1h	109.898460	48.463827	113.000000	PointType.ELECTRODE
TTP8h	217.505792	131.028960	114.000000	PointType.ELECTRODE
CCP6	215.000000	114.900000	115.000000	PointType.ELECTRODE
CCP6h	208.334661	95.660406	114.000000	PointType.ELECTRODE
CCP4	197.000000	77.900000	114.000000	PointType.ELECTRODE
CCP4h	183.000000	64.900000	114.000000	PointType.ELECTRODE
CCP2	167.000000	53.900000	114.000000	PointType.ELECTRODE
CCP2h	148.028960	47.305792	114.000000	PointType.ELECTRODE
TP7h	44.900000	133.000000	103.000000	PointType.ELECTRODE
CP5	46.900000	114.001360	101.500340	PointType.ELECTRODE
CP5h	52.821330	98.157349	100.000000	PointType.ELECTRODE
CP3	63.900000	81.000000	98.000000	PointType.ELECTRODE
CP3h	77.317890	66.582110	96.527370	PointType.ELECTRODE
CP1	91.842650	55.978675	95.000000	PointType.ELECTRODE
CP1h	110.000000	49.900000	94.000000	PointType.ELECTRODE
TP8h	214.100000	133.000000	97.000000	PointType.ELECTRODE
CP6	212.000000	114.900000	97.000000	PointType.ELECTRODE
CP6h	204.021325	96.842651	96.000000	PointType.ELECTRODE
CP4	195.939171	80.733619	95.000000	PointType.ELECTRODE
CP4h	183.648117	67.136088	95.000000	PointType.ELECTRODE
CP2	168.000000	55.900000	94.000000	PointType.ELECTRODE
CP2h	151.000000	50.900000	94.000000	PointType.ELECTRODE
TPP7h	51.000000	134.977060	85.495413	PointType.ELECTRODE
CPP5	54.428750	117.077290	82.471254	PointType.ELECTRODE
CPP5h	59.800370	100.199270	80.549817	PointType.ELECTRODE
CPP3	68.900000	86.000000	78.000000	PointType.ELECTRODE
CPP3h	79.518350	74.786238	76.595413	PointType.ELECTRODE
CPP1	93.736160	64.059529	75.000000	PointType.ELECTRODE
CPP1h	110.022940	57.495413	74.000000	PointType.ELECTRODE
TPP8h	210.000000	133.000000	83.900000	PointType.ELECTRODE
CPP6	206.000000	115.900000	81.000000	PointType.ELECTRODE
CPP6h	200.000366	100.800730	79.450183	PointType.ELECTRODE
CPP4	190.419853	85.319853	77.473284	PointType.ELECTRODE
CPP4h	178.458760	73.358760	77.000000	PointType.ELECTRODE
CPP2	165.000000	63.900000	74.000000	PointType.ELECTRODE
CPP2h	148.000000	58.000000	73.900000	PointType.ELECTRODE
P7h	58.442420	134.033680	70.457577	PointType.ELECTRODE
P5	62.000000	118.900000	69.000000	PointType.ELECTRODE
P5h	66.922810	104.154380	66.900000	PointType.ELECTRODE
P3	75.000000	91.000000	65.900000	PointType.ELECTRODE
P3h	86.900000	79.000000	64.000000	PointType.ELECTRODE
P1	99.839890	70.479542	62.526857	PointType.ELECTRODE
P1h	113.023400	67.000000	61.495320	PointType.ELECTRODE
P8h	203.100000	135.000000	69.000000	PointType.ELECTRODE
P6	199.586364	119.945460	66.486364	PointType.ELECTRODE
P6h	193.000000	105.900000	64.000000	PointType.ELECTRODE
P4	187.000000	93.900000	64.000000	PointType.ELECTRODE
P4h	174.845623	82.922811	62.900000	PointType.ELECTRODE
P2	163.000000	76.000000	60.900000	PointType.ELECTRODE
P2h	149.004140	69.488815	60.948881	PointType.ELECTRODE
PPO7h	66.000000	135.900000	58.000000	PointType.ELECTRODE
PPO5	68.844270	125.311470	57.055734	PointType.ELECTRODE
PPO5h	73.900000	111.000000	55.000000	PointType.ELECTRODE
PPO3	82.000000	100.000000	53.900000	PointType.ELECTRODE
PPO3h	91.000000	92.000000	52.900000	PointType.ELECTRODE
PPO1	102.000000	86.000000	51.900000	PointType.ELECTRODE
PPO1h	116.000000	84.000000	49.900000	PointType.ELECTRODE
PPO8h	196.505572	135.027860	58.000000	PointType.ELECTRODE
PPO6	192.002558	122.805120	56.451279	PointType.ELECTRODE
PPO6h	187.100000	113.000000	55.000000	PointType.ELECTRODE
PPO4	178.423309	100.423310	53.374436	PointType.ELECTRODE
PPO4h	167.849694	93.924847	51.900000	PointType.ELECTRODE
PPO2	156.462310	88.462311	49.900000	PointType.ELECTRODE
PPO2h	146.000000	84.000000	49.900000	PointType.ELECTRODE
PO7h	75.000000	138.000000	47.900000	PointType.ELECTRODE
PO5	78.901900	127.196200	46.449049	PointType.ELECTRODE
PO5h	83.924170	120.151650	44.900000	PointType.ELECTRODE
PO3	92.000000	113.000000	43.900000	PointType.ELECTRODE
PO3h	100.647810	108.268050	41.527047	PointType.ELECTRODE
PO1	110.000000	103.000000	41.900000	PointType.ELECTRODE
PO1h	120.000000	102.000000	40.900000	PointType.ELECTRODE
PO8h	184.100000	138.000000	45.000000	PointType.ELECTRODE
PO6	181.000000	130.000000	43.900000	PointType.ELECTRODE
PO6h	174.547791	121.991970	41.949799	PointType.ELECTRODE
PO4	168.484603	116.436710	40.947890	PointType.ELECTRODE
PO4h	160.000000	111.000000	40.900000	PointType.ELECTRODE
PO2	152.000000	107.000000	39.900000	PointType.ELECTRODE
PO2h	142.066510	102.000000	39.900000	PointType.ELECTRODE
POO5	91.000000	134.000000	36.900000	PointType.ELECTRODE
POO3	102.795410	125.079270	34.485674	PointType.ELECTRODE
POO1	118.000000	121.000000	33.900000	PointType.ELECTRODE
POO6	168.100000	136.000000	35.000000	PointType.ELECTRODE
POO4	160.000000	127.000000	33.900000	PointType.ELECTRODE
POO2	148.000000	121.000000	32.900000	PointType.ELECTRODE
